Conditions,Outcome Measures
Acute Myocarditis,Evolution of the proportion of positive SARS-COV-2 cases.|Ultrasound characteristics.|Assess prognosis of the acute myocarditis .|The factors associated with acute myocarditis cases .|Biological characteristics|Describe at the admission and during the treatment cardiac MRI parameters
"Acute Pain|Low Back Pain, Mechanical",Prevention of chronic low back pain (LBP)|Recovery from acute/sub-acute low back pain|Cumulative reduction of pain|Cumulative reduction of disability|Patient-Reported Outcomes Measurement Information System (PROMIS-29)|Low Back Pain Frequency|Medication Use|Healthcare Utilization|Productivity loss|Risk factors for transitioning to chronic low back pain|Self-efficacy|Coping|Kinesiophobia|Catastrophizing|Global Improvement|Patient Satisfaction with Treatment|Healing Encounters and Attitudes Lists (HEAL)|Intervention Barriers|Intervention Facilitators|Covid 19 Impact
Acute Pancreatitis|Acute Pancreatic Necrosis|Acute Pancreatitis Due to Gallstones|Acute Pancreatic Fluid Collection|Acute Pancreatitis With Infected Necrosis|Acute Pancreatitis Without Necrosis or Infection|Acute Pancreatitis Due to Common Bile Duct Calculus|Acute Pancreatitis Recurrent|Acute Pancreatitis Without Necrosis or Infection (Diagnosis)|Covid19,Mortality|Early Cholecystectomy or ERCP and Sphincterotomy|Hospital re-admission|Morbidity|Hospital readmission
Acute Respiratory Distress,Improved COVID-19 symptoms
Acute Respiratory Distress Syndrome,"Analysis of Clinical, Biological and Histological Pulmonary and Renal Impairment Related to SARS-CoV-2, Ventilator Free Days (VFD, Days alive and ventilator-free)|All-cause Mortality|Mortality in ICU|Mortality in Hospital|Changes in PaO2/ FiO2 ratio, Oxygenation index (OI)|Incidence of Serious Adverse Events (SAEs)|Oxygenation index|Sequential Organ Failure Assessment (SOFA) score|Respiratory compliance (Crs)|Partial pressure of arterial oxygen to the fraction of inspired oxygen ratio (P/F ratio)|Driving Pressure|Extubation and reintubation|Ventilation free days at day 28|Length of ICU and hospital stay|28-day and 90-day mortality, Intergroup mortality difference with treatment|Number of patients with treatment related adverse events|Difference in days of mechanical ventilation between groups|Median reduction of days of hospitalization|Median reduction of days of oxygen needs|Difference between ""Sequential Organ Failure Assessment"" score between groups|Difference between median Murray score between groups|Difference in APACHE II score between groups|Difference in lymphocyte count between groups|Changes in C reactive protein concentration between groups|Changes in D dimer concentration|Changes in ferritin concentration|Changes in lactate dehydrogenase concentration|Impact on interleukin 6 concentrations between groups.|Impact on interleukin 8 concentrations between groups.|Impact on interleukin 10 concentrations between groups.|Impact on tumor necrosis factor alpha concentrations between groups., Time to clinical improvement or hospital discharge|All cause mortality|Number of ventilator-free days|Improvement of Sequential (sepsis-related) Organ Failure Assessment (SOFA) score by ≥2 points|Number of major bleeding events (MBE)|Daily average PaO2/FiO2 ratio (or inferred PaO2/FiO2 ratio from SpO2) change|All-cause mortality or on mechanical ventilation, Plasma ferritin level|Lymphocyte count|D-Dimer level|C-Reactive protein level|Plasma procalcitonin level|Plasma fibrinogen level|Fractional Inspired Oxygen Level|Partial Oxygen Saturation level|Arterial Oxygen level, Number of dysfunctions, number of ventilator-free days|Number of free days from invasive ventilation|Number of free days from non-invasive ventilation (NIV)|Change from baseline in PaO2/FiO2 ratio measured at 6 hours and 12 hours following administration of each dose in the treated group and at the similar timepoints in the control group|Change from baseline in PaO2/FiO2 ratio at additional timepoints|Length of ICU stay (days)|Mortality at Day 28|Change from baseline in ventilatory parameter (Tidal volume (TV))|Delta Sequential Organ Failure Assessment (SOFA) Score|Incidence of all the AEs, AEs related to poractant alfa (treated cohort) (ADRs), serious AEs (SAEs) and AEs leading to death|Change from baseline in blood gas analysis acid-base balance parameter (pH)|Percentage of patients with PaO2/ FiO2 improvement of >20% following administration of each dose in the treated group and at similar timepoints in the control group|Number of Extracorporeal Membrane Oxygenation (ECMO)-free days- (only for cohort 2 of patients in ECMO)|Change from baseline in FiO2|Change from baseline in ventilatory parameter (respiratory rate (RR))|Change from baseline in ventilatory parameter (dynamic compliance (Cdyn))|Change from baseline in ventilatory parameter (static compliance (Cstat))|Change from baseline in ventilatory parameter (positive end-expiratory pressure (PEEP)|Change from baseline in ventilatory parameter (peak inspiratory pressure (PIP))|Change from baseline in ventilatory parameter (plateau pressure (Pplat))|Change from baseline in blood gas analysis acid-base balance parameter (pCO2)|Change from baseline in blood gas analysis acid-base balance parameter (pO2)|Change from baseline in blood gas analysis acid-base balance parameter (HCO3)|Change from baseline in blood gas analysis acid-base balance parameter (lactate), Comparison of the PV curves|Comparison of regional AOP|Comparison of the different AOPs with the level of PEEP, P/F (PaO2/FiO2) change during the first 72hrs after the end of the procedure in adult patients with severe atypical ARDS caused by SARS-2-CoV.|Ventilator-free time (days free from MV) for 28 days of observation."
Acute Respiratory Distress Syndrome (ARDS)|COVID-19|Corona Virus Infection,"alveolar-capillary gas exchange after two days of treatment|alveolar-capillary gas exchange From day 0 to day 21 or until coming out of intensive care|Ventilator-free days|Measure the effects of Intravenous Lidocaine on Biomarkers : Ferritin|Measure the effects of Intravenous Lidocaine on Biomarkers : bicarbonates|Measure the effects of Intravenous Lidocaine on Biomarkers : CRP|Measure the effects of Intravenous Lidocaine on Biomarkers : LDH|Measure the effects of Intravenous Lidocaine on Biomarkers : IL-6|Measure the effects of Intravenous Lidocaine on Biomarkers : Tropo HS|Measure the effects of Intravenous Lidocaine on Biomarkers : Triglycerides|Measure the effects of Intravenous Lidocaine on Biomarkers : CBC with lymphocytes count|Antithrombotic activity of Intravenous Lidocaine on platelets|Antithrombotic activity of Intravenous Lidocaine on ACT ratio|Antithrombotic activity of Intravenous Lidocaine on fibrinogen|Antithrombotic activity of Intravenous Lidocaine on D-Dimers|Antithrombotic activity of Intravenous Lidocaine on TEG|Antithrombotic activity of Intravenous Lidocaine on thromboembolic events|Plasma concentration of albumin and Lidocaine|Search for hemodynamic dysfynction: Blood pressure measurement in mmHg|Search for hemodynamic dysfynction: Cardiac frequency in beats per minute will be assessed|Search for hemodynamic dysfynction: Sinus rythm will be assessed|Search for hemodynamic dysfynction: Vasopressors and inotropes drugs use will be reported|Search for hemodynamic dysfynction: EKG : PR, QRS, QTc intervals in ms will be measured|ICU ileus: laxation response|Opioids, sedative and curare sparing effect (drugs dosage)|Evaluate the impact of Lidocaine IV on ICU outcomes : re-intubation|Evaluate the impact of Lidocaine IV on ICU outcomes : ICU length of stay|Evaluate the impact of Lidocaine IV on ICU outcomes : ICU complications|Cough at extubation time or in the 24 hours after extubation or weaning from respiratory support (in case of tracheostomy)"
Acute Respiratory Distress Syndrome Caused by COVID-19,"Rate of endotracheal intubation|Hospital mortality|Hospital length of stay|Ventilator free days, 60-day mortality|Ventilator-free days"
Acute Respiratory Distress Syndrome Due to SARS-CoV-2 Infection (Severe COVID19),"The proportion of patients who are alive, without evidence of ARDS (i.e. PaO2/FIO2 >300 mm Hg), who do not require any oxygen support (in room air).|The proportion of patients assigned to each category, of a six-category ordinal scale.|Proportion of patients surviving|Proportion of respiratory failure-free survival|Cumulative incidence of resolution of ARDS (defined as PaO2/FiO2 ≥200 in room air)|Cumulative incidence of freedom from oxygen requirement|Proportion of patients requiring invasive mechanical ventilation due to worsening of ARDS|Proportion of patients requiring non-invasive mechanical ventilation (NIV) due to worsening of ARDS|Proportion of patients developing thrombotic microangiopathies|Changes in PaO2 and PaO2/FIO2|Changes in quick Sequential Organ Failure Assessment Score (qSOFA: respiratory rate, systolic blood pressure, Glasgow Coma Scale (GCS)|Changes in maximal and minimal cardiovascular parameters: Respiratory rate|Changes in maximal and minimal cardiovascular parameters: Heart Rate|Changes in levels of biomarkers of inflammation (CBC, CRP, Ferritin, Procalcitonin, D-dimers, LDH)|Length of stay in ICU|Cumulative incidence of discharge from hospital|Number of adverse events|Changes in levels of anti-drug antibodies|Changes in levels of biomarkers of complement activity: C3, C3a, C5a, sC5b-9|Changes in levels of biomarkers of cytokine release syndrome: IL-1, IL-6, IL-12|Changes in levels of Club Cell protein CC16 (biomarker of lung damage )|Changes in levels of AMY-101 plasma level"
Acute Respiratory Distress Syndrome Secondary to Covid-19,Mortality in ICU|Mortality d28|acquired infections incidence|antibiotics duration|mechanical ventilation duration
Acute Respiratory Distress Syndrome|ARDS (Moderate or Severe)|COVID-19 Pneumonia,Incidence of grade 3-5 infusional toxicities and predefined hemodynamic or respiratory adverse events related to the infusion of MSC|Incidence of a reduction in one or more biomarkers of inflammation by day 7|Trend changes in PaO2:FiO2 ratio|Trend changes in Mean Airway Pressure|Trend changes in peak pressure|Trend changes in plateau pressure|Trend changes in Positive end-expiratory airway pressure (PEEP)|Incidence of mortality|Number of ICU-free days|Number of days alive and ventilator free composite score 3|Change in acute lung injury (ALI) score 2|Incidence of serious adverse events|Number of days alive off supplemental oxygen
Acute Respiratory Distress Syndrome|COVID,Recruitment-to Inflation ratio (R/I ratio)|PaO2/FiO2 (mmHg)|Lung volume recruited (VRec)|Plateau pressure (cm H2O)|Oesophagal pressure (cm H2O)|weight (Kg)|urine output (mL)|serum creatinine (Umo/L)|Mean arterial pressure (mmHg)|Peak Pressure (cm H2O)|PEEP total (cm H2O)|PEP Set (cm H2O)|Height (cm)|Airway pening pressure (cm H2O)|Expired volume in PEEP setted at 15 cmH2O (mL)|Expired volume in PEEP setted at 5 cmH2O (mL)
Acute Respiratory Distress Syndrome|COVID-19,"Construction of a composite clinical-echo score (VIRUScore) predictive of risk of worsening respiratory impairment in COVID-19 adult patients admitted to the Emergency Department|Evaluate the prognostic performance of the VIRUScore on the risk of pulmonary aggravation|Evaluate the prognostic performance of the VIRUScore on the risk of severe pulmonary aggravation defined by resuscitation admission and/or death at D14 (sensitivity, specificity, positive predictive value, negative predictive value).|Construction of a decisional algorithm for triage and management of COVID-19 patients.|Search for ""ultrasound signature"" (lung fields and/or severity of involvement) associated with mild (return home) vs. moderate (oxygen therapy) vs. severe (resuscitation/death) clinical forms.|Evaluate the analytical concordance between the pulmonary ultrasound (LUScore) and the Gold-standard CT-scan (CT score)|Construction of a score predictive of aggravation in the sub-population of patients returned home, Performance (discrimination / calibration) of models, Change in Arterial Oxygenation Levels, Percentage of Participants Who are Alive and Free of Respiratory Failure at Day 28|Number of Participants With at Least One Treatment-Emergent Adverse Event (TEAE)|All-cause Mortality Through Day 28, Therapeutic failure within 14 days of randomization|Therapeutic failure within 28 days of randomization|Timeframe of intubation or death|Timeframe of therapeutic escalation (in case of non-invasive ventilation at two pressure levels)|Evolution of oxygenation (PaO2/FiO2 ratio or SpO2/FiO2 surrogate) over the 14 days following randomization|Evolution of the SpO2/FiO2 ratio during the first prone session|Evolution of the ROX index during the first prone session|Evolution of the World Health Organization disease severity score of COVID|Patient comfort before, during and after the first prone position session|Occurrence of skin lesions on the anterior surface of the body|Displacement of invasive devices during reversals|Days of nasal High-Flow therapy use in the general population, in non-intubated patients and in intubated patients|Days spent in the intensive care unit and in the hospital|Mortality in the intensive care unit and in the hospital|Ventilator-free-days within 28 days of randomization, Ventilator-free days|Mortality|Sequential Organ Failure Assessment Score|P/F ratio|Lung compliance|Radiological score|Biological efficacy endpoints - C-reactive protein|Biological efficacy endpoints - Procalcitonin|Immunological profile|Number of patients using other treatments for COVID-19 related ARDS|Occurrence of deep vein thrombosis or pulmonary embolism|Total duration of mechanical ventilation, ventilatory weaning and curarisation|Kidney Disease: Improving Global Outcomes (KDIGO) score and need for dialysis|Occurrence of adverse event related to immunoglobulins|Occurrence of critical illness neuromyopathy|Occurrence of ventilator-acquired pneumonia, Adverse events related to SGB|All Adverse events|Death|Assessment of respiratory/ pulmonary function|Radiographic criteria|Cardiac function"
